Indicator Name;Greece;Russia;Germany;United Kingdom;France;Italy;Spain;Ukraine;Poland;Romania;Netherlands;Belgium;Czech Republic;Portugal;Sweden;Hungary;Belarus;Austria;Serbia;Switzerland;Bulgaria;Denmark;Finland;Norway;Ireland;Croatia;Moldova;Bosnia and Herzegovina;Albania;Lithuania;North Macedonia;Slovenia;Latvia;Estonia;Montenegro;Luxembourg;Malta;Iceland;Andorra;Monaco;Liechtenstein;San Marino
Population, male;2273553;66964302;40598245;32340918;32271469;29433527;22821680;20840806;18375539;9541664;8447999;556976;5195724;4891543;4973853;4681743;4377765;4292559;7058322;4147577;3455141;2845175;2706934;2636304;2353419;2021957;1333190;1706069;1442176;1330868;1034319;1026841;899402;617086;303492;292233;231198;169141;36628;18187;18663;16453;
Population, female;1037111;77378095;41750423;33270675;34452635;31193971;23662382;24163867;19594548;10160603;8582315;5754446;5370608;5433909;4949232;5132281;5091613;4444108;3385520;4225760;3672681;2882835;2788369;2598214;2401916;2152392;1469996;1774917;1433925;1537363;1038171;1038201;1060135;698703;318810;289781;224158;166298;35913;18884;18947;17381;
Population, total;1236443;144342397;82348669;65611593;66724104;60627498;46484062;45004673;37970087;19702267;17030314;11331422;10566332;10325452;9923085;9814023;9469379;8736668;3672802;8373338;7127822;5728010;5495303;5234519;4755335;4174349;2803186;3480986;2876101;2868231;2072490;2065042;1959537;1315790;622303;582014;455356;335439;72540;37071;37609;33834;
Population ages 65 and above, total;5286884;20066638;17405321;11793001;13029325;13508310;8750078;7215673;6116248;3387446;3107503;2083729;1961301;2164536;1955588;1813095;1442186;1614979;1382896;1508286;1487960;1090575;1136545;864739;636462;825741;331023;545607;401830;559412;270489;378452;396296;252443;89809;82756;85133;46732;9380;12990;6276;6276;
Population ages 65 and above, male;5489087;6510735;7556388;5349200;5557411;5831361;3777924;2411096;2392462;1356672;1419344;907477;815896;901786;901522;682263;476566;693188;563530;666845;594755;499107;493684;395607;296565;330668;122181;230056;196230;190956;118413;157258;131287;85674;36547;36986;38432;22110;4461;6146;2889;2817;
Population ages 65 and above, female;10775971;13555902;9848933;6443801;7471914;7676949;4972155;4804577;3723786;2030774;1688159;1176253;1145404;1262750;1054066;1130832;965620;921790819366;841441;893205;591468;642861;469132;339897;495073;208842;315552;205599;368457;152077;221194;265009;166769;53262;45770;46701;24622;4919;6845;3387;3459;
Population ages 15-64, total;6942178;99432454;54016360;42139473;41634728;38880651;30717059;30889340;26160735;13208338;11135885;7325397;6974680;6710327;6230295;6577390;6462580;5866325;4668334;5618817;4635204;3677758;3463631;3434222;3110739;2750258;1951077;2412441;1962501;1888698;1451509;1377667;1265689;850822;417834;404062;308451;222056;52153;19610;25744;22596;
Population ages 15-64, male;3449523;47714165;27425635;21008187;20548519;19362338;15428165;14876932;13060442;6597213;5601435;3685975;3543932;3247081;3179723;3268712;3102324;2953805;2302158;2840611;2344124;1854274;1755681;1761283;1541523;1384476;946696;1208705;981542;925494;734602;711065;616082;422355;207615;206263;160931;113011;26537;9782;12836;11043;
Population ages 15-64, female;3492655;51718289;26590724;21131286;21086208;19518313;15288894;16012408;13100293;6611125;5534450;3639422;3430747;3463247;3050572;3308679;3360256;2912519;2366177;2778205;2291079;1823484;1707950;1672938;1569216;1365782;1004381;1203736;980959;63204;716907;666603;649606;428466;210219;197799;147520;109045;25617;9827;12908;11553;
Population ages 0-14, total;1560239;24843305;10926988;11679120;12060052;8238537;7016924;6899660;5693104;3106483;2786927;1922295;1630352;1450589;1737202;1423539;1564612;1255365;1007091;1246235;1004658;959677;895127;935558;1008135;598350;521086;522937;511771;420120;350491;308922;297552;212526;114660;95196;61772;66651;11006;4471;5589;4963;
Population ages 0-14, male;800250;12739401;5616222;5983531;6165539;4239828;3615591;3552778;2922635;1587779;1427220;983524;835895;742676;892608;730768;798875;645566;519832;640121;516261;491794;457569;479414;515331;306813;264313;267308;264404;214418;181304;158518;152032;109058;59330;48984;31835;34020;5629;2259;2938;2593;
Population ages 0-14, female;759989;12103904;5310767;5695589;5894513;3998709;3401333;3346882;2770470;1518704;1359707;938771;794456;707913;844593;1349830226;765737;609798;487259;606114;488397;467883;437558;456144;492804;291537;256773;255629;247367;205702;169187;150405;145519;103468;55329;46212;29937;32631;5377;2212;2651;2370;
Refugee population by country or territory of origin;101;62759;67;78;50;49;34;239062;1159;1195;32;44;1266;20;13;692771;3831;36928;5;799;5;10;26231;2316;18194;11060;74;1730;20;165;303;713;5;
Refugee population by country or territory of asylum;46411;228981;669468;118973;304527;147362;12983;3292;11738;2880;101727;42158;3640;1189;230158;2909;1647;93242;36517;82668;17794;33501;18402;59512;5720;300;419;5266;141;1284;634;454;340;312;970;2020;7941;245;27;161;